datetime,timestamp,open,high,low,close,volume
2025-01-03T10:20:00.000Z,1735899600000,3442.38,3444.0,3440.38,3442.36,70.735689
2025-01-03T10:25:00.000Z,1735899900000,3442.57,3447.89,3442.56,3446.01,61.405101
2025-01-03T10:30:00.000Z,1735900200000,3446.01,3451.99,3446.01,3450.01,132.846749
2025-01-03T10:35:00.000Z,1735900500000,3450.01,3452.26,3449.0,3449.92,447.566266
2025-01-03T10:40:00.000Z,1735900800000,3449.92,3450.4,3446.0,3446.0,187.708914
2025-01-03T10:45:00.000Z,1735901100000,3446.0,3447.88,3444.0,3447.12,227.269456
2025-01-03T10:50:00.000Z,1735901400000,3447.12,3448.81,3444.06,3444.45,263.985873
2025-01-03T10:55:00.000Z,1735901700000,3444.55,3448.0,3444.55,3445.8,159.46999
2025-01-03T11:00:00.000Z,1735902000000,3445.83,3450.48,3445.83,3450.27,275.081405
2025-01-03T11:05:00.000Z,1735902300000,3450.27,3450.53,3447.0,3447.0,84.73511
2025-01-03T11:10:00.000Z,1735902600000,3447.0,3449.32,3447.0,3449.15,36.96122
2025-01-03T11:15:00.000Z,1735902900000,3449.16,3449.99,3447.09,3449.99,79.56966
2025-01-03T11:20:00.000Z,1735903200000,3449.99,3457.32,3449.99,3456.18,236.200514
2025-01-03T11:25:00.000Z,1735903500000,3456.41,3456.99,3453.77,3456.89,174.246324
2025-01-03T11:30:00.000Z,1735903800000,3456.79,3458.97,3455.01,3455.02,331.956696
2025-01-03T11:35:00.000Z,1735904100000,3455.02,3461.63,3454.41,3459.73,386.720968
2025-01-03T11:40:00.000Z,1735904400000,3459.73,3460.56,3457.01,3458.44,135.84771
2025-01-03T11:45:00.000Z,1735904700000,3458.44,3462.1,3458.02,3462.0,268.16578
2025-01-03T11:50:00.000Z,1735905000000,3462.0,3467.32,3460.0,3467.32,291.158858
2025-01-03T11:55:00.000Z,1735905300000,3467.32,3467.66,3465.25,3465.89,305.162374
2025-01-03T12:00:00.000Z,1735905600000,3465.89,3465.89,3461.43,3462.52,428.648046
2025-01-03T12:05:00.000Z,1735905900000,3462.63,3468.27,3461.38,3468.27,235.499643
2025-01-03T12:10:00.000Z,1735906200000,3468.27,3474.61,3467.77,3472.01,802.194202
2025-01-03T12:15:00.000Z,1735906500000,3472.01,3472.85,3467.06,3470.0,257.700039
2025-01-03T12:20:00.000Z,1735906800000,3470.0,3470.49,3466.23,3466.94,266.849066
2025-01-03T12:25:00.000Z,1735907100000,3466.94,3474.27,3462.49,3473.32,284.226258
2025-01-03T12:30:00.000Z,1735907400000,3473.01,3476.73,3469.36,3470.13,294.192344
2025-01-03T12:35:00.000Z,1735907700000,3470.12,3470.13,3466.01,3468.25,211.741714
2025-01-03T12:40:00.000Z,1735908000000,3468.26,3469.69,3464.83,3465.95,410.93575
2025-01-03T12:45:00.000Z,1735908300000,3465.81,3468.98,3465.0,3467.17,128.156918
2025-01-03T12:50:00.000Z,1735908600000,3467.17,3470.0,3466.0,3469.0,103.982196
2025-01-03T12:55:00.000Z,1735908900000,3469.0,3469.53,3462.39,3463.69,138.681873
2025-01-03T13:00:00.000Z,1735909200000,3463.65,3468.99,3463.14,3466.0,228.224441
2025-01-03T13:05:00.000Z,1735909500000,3465.88,3481.67,3464.25,3480.01,568.419595
2025-01-03T13:10:00.000Z,1735909800000,3480.35,3489.56,3480.2,3484.97,546.268401
2025-01-03T13:15:00.000Z,1735910100000,3484.99,3484.99,3475.17,3475.66,439.052949
2025-01-03T13:20:00.000Z,1735910400000,3475.91,3492.0,3475.51,3491.98,628.426009
2025-01-03T13:25:00.000Z,1735910700000,3491.98,3497.44,3486.48,3486.48,970.624461
2025-01-03T13:30:00.000Z,1735911000000,3486.37,3491.83,3484.36,3487.59,632.964625
2025-01-03T13:35:00.000Z,1735911300000,3487.6,3492.97,3486.01,3488.9,452.697534
2025-01-03T13:40:00.000Z,1735911600000,3488.9,3492.62,3483.64,3487.79,419.702783
2025-01-03T13:45:00.000Z,1735911900000,3487.79,3489.93,3482.23,3485.05,313.547828
2025-01-03T13:50:00.000Z,1735912200000,3485.04,3487.99,3478.87,3487.04,400.359531
2025-01-03T13:55:00.000Z,1735912500000,3487.02,3487.02,3480.27,3481.39,422.511876
2025-01-03T14:00:00.000Z,1735912800000,3481.33,3487.0,3481.29,3486.77,166.572782
2025-01-03T14:05:00.000Z,1735913100000,3486.77,3496.83,3485.83,3496.05,206.384649
2025-01-03T14:10:00.000Z,1735913400000,3496.04,3499.99,3495.33,3495.51,790.039079
2025-01-03T14:15:00.000Z,1735913700000,3495.66,3507.0,3495.66,3503.73,1147.091633
2025-01-03T14:20:00.000Z,1735914000000,3504.13,3510.41,3500.01,3510.21,595.572426
2025-01-03T14:25:00.000Z,1735914300000,3510.21,3513.51,3508.0,3512.28,1043.443054
2025-01-03T14:30:00.000Z,1735914600000,3512.29,3536.2,3507.03,3521.63,4167.951885
2025-01-03T14:35:00.000Z,1735914900000,3521.27,3534.99,3508.93,3532.45,1769.073028
2025-01-03T14:40:00.000Z,1735915200000,3532.47,3536.61,3523.01,3525.69,1108.628583
2025-01-03T14:45:00.000Z,1735915500000,3525.69,3528.04,3517.36,3528.04,1260.928014
2025-01-03T14:50:00.000Z,1735915800000,3528.04,3536.49,3519.32,3526.61,864.254231
2025-01-03T14:55:00.000Z,1735916100000,3526.62,3531.84,3521.68,3527.19,1123.469951
2025-01-03T15:00:00.000Z,1735916400000,3527.31,3529.62,3520.01,3528.91,992.536926
2025-01-03T15:05:00.000Z,1735916700000,3528.92,3534.18,3524.55,3530.07,2366.146501
2025-01-03T15:10:00.000Z,1735917000000,3530.07,3544.81,3525.26,3535.27,1829.415122
2025-01-03T15:15:00.000Z,1735917300000,3535.25,3539.68,3527.54,3530.05,762.903745
2025-01-03T15:20:00.000Z,1735917600000,3530.48,3535.43,3520.74,3534.0,658.962788
2025-01-03T15:25:00.000Z,1735917900000,3534.25,3541.66,3533.28,3539.34,1114.50296
2025-01-03T15:30:00.000Z,1735918200000,3539.33,3545.0,3535.24,3544.48,657.884803
2025-01-03T15:35:00.000Z,1735918500000,3544.28,3550.57,3542.58,3550.47,1536.184275
2025-01-03T15:40:00.000Z,1735918800000,3550.49,3557.24,3547.0,3554.2,1228.104369
2025-01-03T15:45:00.000Z,1735919100000,3554.35,3575.8,3554.09,3571.09,4123.51988
2025-01-03T15:50:00.000Z,1735919400000,3571.1,3572.58,3560.28,3567.95,1199.483671
2025-01-03T15:55:00.000Z,1735919700000,3567.96,3570.0,3564.27,3564.86,1261.150201
2025-01-03T16:00:00.000Z,1735920000000,3565.16,3581.0,3565.16,3578.74,2959.872445
2025-01-03T16:05:00.000Z,1735920300000,3578.74,3584.79,3570.48,3579.92,2427.127119
2025-01-03T16:10:00.000Z,1735920600000,3579.65,3589.0,3577.56,3586.62,2019.377688
2025-01-03T16:15:00.000Z,1735920900000,3586.56,3590.9,3583.75,3586.59,2516.388933
2025-01-03T16:20:00.000Z,1735921200000,3586.79,3596.2,3580.38,3594.37,2615.207867
